name,description,score,m_score,price
MacBook Air (11-inch Late 2010),Intel Core 2 Duo U9400 @ 1.4 GHz (2 cores),185,338,0
MacBook Air (11-inch Late 2010),Intel Core 2 Duo U9600 @ 1.6 GHz (2 cores),211,359,0
MacBook (Late 2008),Intel Core 2 Duo P7350 @ 2.0 GHz (2 cores),263,461,0
MacBook Air (13-inch Late 2010),Intel Core 2 Duo L9400 @ 1.9 GHz (2 cores),264,468,0
Mac mini (Early 2009),Intel Core 2 Duo P7350 @ 2.0 GHz (2 cores),270,477,0
MacBook Pro (Early 2008),Intel Core 2 Duo T8300 @ 2.4 GHz (2 cores),271,504,0
MacBook (Early 2009),Intel Core 2 Duo P7350 @ 2.0 GHz (2 cores),272,460,0
MacBook Air (13-inch Late 2010),Intel Core 2 Duo L9600 @ 2.1 GHz (2 cores),281,492,0
MacBook (Early 2009),Intel Core 2 Duo P7450 @ 2.1 GHz (2 cores),282,480,0
iMac (Mid 2009),Intel Core 2 Duo P7550 @ 2.3 GHz (2 cores),292,535,0
MacBook Pro (13-inch Mid 2009),Intel Core 2 Duo P7550 @ 2.3 GHz (2 cores),293,510,0
MacBook (Late 2009),Intel Core 2 Duo P7550 @ 2.3 GHz (2 cores),299,515,0
MacBook Pro (Late 2008),Intel Core 2 Duo P8600 @ 2.4 GHz (2 cores),307,516,0
Mac mini (Late 2009),Intel Core 2 Duo P7550 @ 2.3 GHz (2 cores),307,541,0
MacBook Pro (13-inch Early 2010),Intel Core 2 Duo P8600 @ 2.4 GHz (2 cores),309,540,0
Mac mini (Early 2010),Intel Core 2 Duo P8600 @ 2.4 GHz (2 cores),311,542,0
MacBook Pro (Early 2008),Intel Core 2 Duo T9300 @ 2.5 GHz (2 cores),312,563,0
MacBook (Late 2008),Intel Core 2 Duo P8600 @ 2.4 GHz (2 cores),316,553,0
MacBook (Mid 2010),Intel Core 2 Duo P8600 @ 2.4 GHz (2 cores),317,555,0
MacBook Pro (Late 2008),Intel Core 2 Duo T9400 @ 2.5 GHz (2 cores),317,550,0
MacBook Pro (15-inch Mid 2009),Intel Core 2 Duo P8800 @ 2.7 GHz (2 cores),320,554,0
MacBook Pro (13-inch Mid 2009),Intel Core 2 Duo P8700 @ 2.5 GHz (2 cores),323,578,0
MacBook Pro (15-inch Mid 2009),Intel Core 2 Duo P8700 @ 2.5 GHz (2 cores),328,578,0
MacBook Pro (13-inch Early 2010),Intel Core 2 Duo P8800 @ 2.7 GHz (2 cores),335,575,0
Mac mini (Late 2009),Intel Core 2 Duo P8700 @ 2.5 GHz (2 cores),340,603,0
Mac mini (Early 2010),Intel Core 2 Duo P8800 @ 2.7 GHz (2 cores),343,608,0
MacBook Pro (17-inch Early 2009),Intel Core 2 Duo T9550 @ 2.7 GHz (2 cores),350,595,0
MacBook Pro (Late 2008),Intel Core 2 Duo T9550 @ 2.7 GHz (2 cores),355,626,0
MacBook Pro (15-inch Mid 2009),Intel Core 2 Duo T9600 @ 2.8 GHz (2 cores),356,625,0
MacBook Pro (Late 2008),Intel Core 2 Duo T9800 @ 2.9 GHz (2 cores),362,632,0
MacBook Pro (17-inch Early 2009),Intel Core 2 Duo T9800 @ 2.9 GHz (2 cores),366,636,0
MacBook Pro (17-inch Mid 2009),Intel Core 2 Duo T9600 @ 2.8 GHz (2 cores),367,630,0
iMac (Early 2009),Intel Core 2 Duo E8135 @ 2.7 GHz (2 cores),375,667,0
iMac (Early 2008),Intel Core 2 Duo E8235 @ 2.8 GHz (2 cores),380,684,0
iMac (Late 2009),Intel Core 2 Duo E7600 @ 3.1 GHz (2 cores),381,671,0
MacBook Air (11-inch Mid 2011),Intel Core i5-2467M @ 1.6 GHz (2 cores),382,810,0
MacBook Pro (15-inch Mid 2009),Intel Core 2 Duo T9900 @ 3.1 GHz (2 cores),391,686,0
iMac (Early 2009),Intel Core 2 Duo E8335 @ 2.9 GHz (2 cores),395,732,0
Mac Pro (Early 2008),Intel Xeon E5462 @ 2.8 GHz (4 cores),400,1222,0
iMac (Early 2008),Intel Core 2 Duo E8435 @ 3.1 GHz (2 cores),403,741,0
Mac Pro (Early 2008),Intel Xeon E5462 @ 2.8 GHz (8 cores),404,2228,0
MacBook Pro (17-inch Mid 2009),Intel Core 2 Duo T9900 @ 3.1 GHz (2 cores),405,720,0
MacBook Pro (15-inch Early 2010),Intel Core i5-520M @ 2.4 GHz (2 cores),419,899,0
iMac (Early 2009),Intel Core 2 Duo E8435 @ 3.1 GHz (2 cores),424,739,0
Mac Pro (Early 2008),Intel Xeon E5472 @ 3.0 GHz (8 cores),426,2373,0
MacBook Pro (17-inch Early 2010),Intel Core i5-540M @ 2.5 GHz (2 cores),427,926,0
MacBook Pro (15-inch Early 2010),Intel Core i5-540M @ 2.5 GHz (2 cores),427,924,0
Mac Pro (Early 2009),Intel Xeon E5520 @ 2.3 GHz (8 cores),428,3114,0
Mac Pro (Early 2008),Intel Xeon X5472 @ 3.0 GHz (8 cores),430,2388,0
Xserve (Early 2009),Intel Xeon E5520 @ 2.3 GHz (8 cores),431,3147,0
MacBook Air (13-inch Mid 2011),Intel Core i5-2557M @ 1.7 GHz (2 cores),453,945,0
MacBook Pro (17-inch Early 2010),Intel Core i7-640M @ 2.8 GHz (2 cores),458,993,0
Mac Pro (Early 2008),Intel Xeon X5482 @ 3.2 GHz (8 cores),458,2551,0
MacBook Pro (15-inch Early 2010),Intel Core i7-620M @ 2.7 GHz (2 cores),468,985,0
MacBook Pro (17-inch Early 2010),Intel Core i7-620M @ 2.7 GHz (2 cores),469,986,0
iMac (Late 2009),Intel Core 2 Duo E8600 @ 3.3 GHz (2 cores),469,832,0
iMac (21.5-inch Mid 2010),Intel Core i3-540 @ 3.1 GHz (2 cores),469,1023,0
iMac (27-inch Mid 2010),Intel Core i3-550 @ 3.2 GHz (2 cores),469,1031,0
Mac Pro (Mid 2010),Intel Xeon E5620 @ 2.4 GHz (8 cores),473,3419,0
Mac Pro (Early 2009),Intel Xeon W3520 @ 2.7 GHz (4 cores),483,1838,0
iMac (21.5-inch Mid 2010),Intel Core i3-550 @ 3.2 GHz (2 cores),486,1067,0
MacBook Pro (13-inch Early 2011),Intel Core i5-2415M @ 2.3 GHz (2 cores),489,1067,0
MacBook Pro (15-inch Early 2010),Intel Core i7-640M @ 2.8 GHz (2 cores),491,1047,0
iMac (27-inch Late 2009),Intel Core i5-750 @ 2.7 GHz (4 cores),492,1487,0
Mac Pro (Mid 2012),Intel Xeon E5645 @ 2.4 GHz (12 cores),495,4609,0
MacBook Air (13-inch Mid 2011),Intel Core i7-2677M @ 1.8 GHz (2 cores),498,1011,0
MacBook Pro (15-inch Early 2011),Intel Core i7-2635QM @ 2.0 GHz (4 cores),499,1866,0
